history_id,emp_id,event_type,event_date,from_value,to_value,field_changed,note,recorded_by
127,EMP-128,정규직원,2014-03-01,,정규직원,employment_type,입사,system_import
128,EMP-129,정규직원,2018-09-17,,정규직원,employment_type,입사,system_import
129,EMP-130,정규직원,2014-01-01,,정규직원,employment_type,입사,system_import
130,EMP-131,정규직원,2024-08-12,,정규직원,employment_type,입사,system_import
131,EMP-132,정규직원,2020-10-01,,정규직원,employment_type,입사,system_import
132,EMP-133,정규직원,2013-03-01,,정규직원,employment_type,입사,system_import
133,EMP-134,정규직원,2014-11-13,,정규직원,employment_type,입사,system_import
134,EMP-135,정규직원,2025-10-08,,정규직원,employment_type,입사,system_import
135,EMP-136,정규직원,2014-07-01,,정규직원,employment_type,입사,system_import
136,EMP-137,정규직원,2015-03-10,,정규직원,employment_type,입사,system_import
137,EMP-138,정규직원,2013-08-06,,정규직원,employment_type,입사,system_import
138,EMP-139,정규직원,2023-03-01,,정규직원,employment_type,입사,system_import
139,EMP-140,정규직원,2013-03-01,,정규직원,employment_type,입사,system_import
140,EMP-141,정규직원,2013-06-17,,정규직원,employment_type,입사,system_import
141,EMP-142,정규직원,2021-03-29,,정규직원,employment_type,입사,system_import
